"link_vacancy","vacancy_name","skills","create_time","salary","company","work_exp"
"https://spb.hh.ru/vacancy/46972522?from=vacancy_search_list&query=Python","Программист Django (Python)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47245399?from=vacancy_search_list&query=Python","QA Engineer / Инженер по тестированию","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47435559?from=vacancy_search_list&query=Python","Разработчик на C#/C++","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47435546?from=vacancy_search_list&query=Python","Junior разработчик на C#/C++","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47450038?from=vacancy_search_list&query=Python","Senior C/C++ developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47493408?from=vacancy_search_list&query=Python","Senior Java Developer (Life Science project)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46652496?from=vacancy_search_list&query=Python",".Net Developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47483672?from=vacancy_search_list&query=Python","Программист C/С++","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/44902177?from=vacancy_search_list&query=Python","Data Engineer/BI Developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46699272?from=vacancy_search_list&query=Python","Разработчик Oracle, MS SQL, Python, Pandas, NumPy","[]","[]","","[]",""
